message,results,ratio,elements,numberLeft,numberRight,joinIteratorString,execution time,heapTotal diff,heapTotal total,arrayBuffers dif,arrayBuffers total,rss diff,rss total,heap diff,head total
TwoHashIndexedCount: 75000 & 0.9,45528348,0.9,100,75000,75000,TwoHashIndexedCount,29.86621691700071,15.1171875,66.9453125,0,0.017816543579101562,120.21484375,655.1796875,4.739532470703125,33.69609832763672
TwoHashIndexed: 75000 & 0.9,45580146,0.9,100,75000,75000,TwoHashIndexed,31.064991038000212,25.6171875,76.9453125,0,0.017816543579101562,150.55078125,646.65625,21.411849975585938,50.58921813964844
TwoHashIndexed: 100000 & 0.5,22691070,0.5,100,100000,100000,TwoHashIndexed,27.979392395000904,17.859375,69.55078125,0,0.017816543579101562,92.7890625,714.984375,10.152664184570312,42.459068298339844
TwoHashIndexedCount: 100000 & 0.5,22460675,0.5,100,100000,100000,TwoHashIndexedCount,27.904179806999863,13.359375,64.55078125,0,0.017816543579101562,95.56640625,696.79296875,8.391227722167969,40.59272003173828
TwoHash: 100000 & 0.5,22569926,0.5,100,100000,100000,TwoHash,30.125758254000917,13,64.44140625,0,0.017816543579101562,11.97265625,645.5390625,13.066421508789062,45.374061584472656
TwoHashIndexedCount: 100000 & 0.75,54784199,0.75,100,100000,100000,TwoHashIndexedCount,43.955056381000205,19.3671875,70.62890625,0,0.017816543579101562,96.02734375,722.80859375,9.327102661132812,38.65339660644531
TwoHashIndexed: 100000 & 0.75,54939480,0.75,100,100000,100000,TwoHashIndexed,48.7808599960003,28.6171875,79.62890625,0,0.017816543579101562,114.05859375,722.3828125,21.593460083007812,51.48292541503906
TwoHash: 100000 & 0.75,54815628,0.75,100,100000,100000,TwoHash,49.9454103119988,18.25,69.26171875,0,0.017816543579101562,50.47265625,684.06640625,20.853248596191406,50.46869659423828
TwoHash: 100000 & 0.9,80991039,0.9,100,100000,100000,TwoHash,55.74417886700109,18.25,70.76171875,0,0.017816543579101562,74.16015625,713.21484375,18.699974060058594,51.283653259277344
TwoHashIndexedCount: 100000 & 0.9,80987066,0.9,100,100000,100000,TwoHashIndexedCount,53.558178690999746,19.3671875,73.4140625,0,0.017816543579101562,72.703125,703.0625,10.067726135253906,43.276702880859375
TwoHashIndexed: 100000 & 0.9,81063416,0.9,100,100000,100000,TwoHashIndexed,61.89223960600048,29.3671875,83.6640625,0,0.017816543579101562,81.859375,722.390625,27.94947052001953,61.33245849609375
TwoHashIndexedCount: 150000 & 0.25,9987276,0.25,100,150000,150000,TwoHashIndexedCount,47.34003964699991,13.921875,66.23828125,0,0.017816543579101562,50.0078125,722.81640625,2.4783477783203125,34.97760772705078
TwoHash: 150000 & 0.25,10647364,0.25,100,150000,150000,TwoHash,50.41190242899955,13.75,65.56640625,0,0.017816543579101562,35.23046875,731.7734375,7.8260955810546875,40.27178192138672
TwoHashIndexed: 150000 & 0.25,10759623,0.25,100,150000,150000,TwoHashIndexed,51.602437726000325,16.421875,68.73828125,0,0.017816543579101562,96.796875,743.234375,11.713058471679688,44.245880126953125
TwoHash: 150000 & 0.5,49393822,0.5,100,150000,150000,TwoHash,78.85968329699897,10,74.63671875,0,0.017816543579101562,109.17578125,825.93359375,11.63201904296875,51.20781707763672
TwoHashIndexedCount: 150000 & 0.5,49228410,0.5,100,150000,150000,TwoHashIndexedCount,83.72905262099951,9.859375,74.24609375,0,0.017816543579101562,126.80859375,828.8984375,12.165969848632812,51.583595275878906
TwoHashIndexed: 150000 & 0.5,49591484,0.5,100,150000,150000,TwoHashIndexed,86.74482900799997,16.109375,80.74609375,0,0.017816543579101562,177.7734375,823.4453125,13.7677001953125,53.31828308105469
TwoHash: 150000 & 0.75,122741252,0.75,100,150000,150000,TwoHash,131.45651049199887,13,81.015625,0,0.017816543579101562,181.9921875,825.58984375,13.510993957519531,52.485496520996094
TwoHashIndexedCount: 150000 & 0.75,122702590,0.75,100,150000,150000,TwoHashIndexedCount,128.02375835600122,13.6171875,82.1328125,0,0.017816543579101562,111.546875,817.98828125,17.18000030517578,56.04932403564453
TwoHashIndexed: 150000 & 0.75,122923745,0.75,100,150000,150000,TwoHashIndexed,158.67652205700054,24.3671875,92.8828125,0,0.017816543579101562,121.30859375,826.69921875,32.875640869140625,71.97724914550781
TwoHash: 150000 & 0.9,182151990,0.9,100,150000,150000,TwoHash,154.0738198489994,11.75,83.35546875,0,0.017816543579101562,85.89453125,813.91796875,19.215835571289062,61.786956787109375
TwoHashIndexedCount: 150000 & 0.9,182146288,0.9,100,150000,150000,TwoHashIndexedCount,158.0401907139998,14.3671875,85.72265625,0,0.017816543579101562,72.4609375,818.39453125,22.636016845703125,65.420654296875
TwoHash: 200000 & 0.25,17387116,0.25,100,200000,200000,TwoHash,120.27066507799924,7.25,74.19921875,0,0.017816543579101562,5.3125,824.5859375,-2.4919891357421875,45.00880432128906
TwoHashIndexed: 200000 & 0.25,17542618,0.25,100,200000,200000,TwoHashIndexed,123.68966809700056,11.3671875,78.31640625,0,0.017816543579101562,23.6484375,845.84375,5.958953857421875,53.21185302734375
TwoHashIndexed: 150000 & 0.9,182269480,0.9,100,150000,150000,TwoHashIndexed,193.54738422400132,21.671875,93.52734375,0,0.017816543579101562,126.45703125,865.56640625,23.377357482910156,65.96863555908203
TwoHashIndexedCount: 200000 & 0.25,16648965,0.25,100,200000,200000,TwoHashIndexedCount,131.98917838399856,8.1171875,75.06640625,0,0.017816543579101562,-34.73828125,775.8125,-1.736724853515625,45.577781677246094
TwoHash: 200000 & 0.5,84693882,0.5,100,200000,200000,TwoHash,214.10521766999923,15.75,87.64453125,0,0.017816543579101562,138.671875,955.03515625,10.394706726074219,60.41425323486328
TwoHashIndexed: 200000 & 0.5,84967227,0.5,100,200000,200000,TwoHashIndexed,218.977942778999,25.25,96.89453125,0,0.017816543579101562,177.55859375,989.7578125,14.085594177246094,64.26744842529297
